Region and State;Total;Inter-governmental;total.1;elementary and secondary education;Higher education;Public Welfare;Health and Hospitals;Highways;Police;all other;Exhibit personal Income (millions);year
Tennessee;15,485263;0;15,485263;3,2255775;1,2363525;3,8597341;1,5833184;0,74117769;0,6449883;4,1941141;303460,7;2017
Virginia;15,645753;0,000002973;15,645751;3,7283101;1,7413726;2,5544766;1,6266885;1,0407926;0,53547872;4,4186314;470835,7;2017
West Virginia;22,859265;0;22,859265;4,3831901;2,5017228;6,6646694;1,0804441;1,7400958;0,55787156;5,9312709;70729,9;2017
Southwest;16,9;0,0029913;16,897008;3,8549906;2,2563776;3,3957745;1,5991163;1,1203621;0,64302544;4,0273618;1924648,1;2017
Arizona;16,107256;0;16,107256;2,747876;2,0172396;4,7990214;0,5453297;0,85355033;0,81804122;4,3261978;300007,5;2017
New Mexico;25,89073;0;25,89073;4,4608848;3,3009805;7,2676085;2,2397248;1,0988097;0,84926198;6,6734595;83141,6;2017
Oklahoma;17,193144;0,03343914;17,159705;3,3415936;2,3829587;3,9350396;1,4139368;1,4996286;0,58523548;4,0013121;172169,5;2017
Texas;16,490934;0;16,490934;4,125312;2,22943;2,7854466;1,8143785;1,1324404;0,59942512;3,8045018;1369329,5;2017
Rocky Mountain;17,704311;0,00415244;17,700159;3,4909724;2,3274668;2,9760314;1,6676189;1,2420284;0,61298202;5,3830589;602994,2;2017
Colorado;16,147809;0,00064606;16,147163;3,188535;2,0676007;2,6860865;1,1705944;1,0476254;0,60885544;5,3778657;312045,5;2017
Idaho;16,076035;0;16,076035;3,0364823;1,5519826;3,4956504;1,3438331;1,2189946;0,62888782;4,8002038;72605;2017
Montana;19,571644;0;19,571644;3,8340096;1,9991568;4,5700045;1,2395662;1,7237436;0,68500493;5,520158;48623,3;2017
Utah;19,044579;0,00000292;19,044576;3,7392603;3,3378809;2,8795118;2,1977345;1,3372626;0,57172503;4,981201;136996,8;2017
Wyoming;27,77387;0,07034373;27,703526;5,8341808;2,783838;2,6236172;5,5422509;2,0324536;0,68274579;8,2044396;32723,6;2017
Far West [2];19,026705;0,09138332;18,935321;3,6106349;1,7470636;4,3891937;2,2137933;0,76790768;0,74723095;5,4594972;3160493,7;2017
California;19,284515;0,1211198;19,163396;3,6150588;1,740415;4,6951959;2,2339811;0,65961419;0,79321342;5,4259172;2383130,5;2017
Nevada;15,570307;0,00121612;15,569091;3,2729502;1,0588301;2,7872515;1,0800588;1,4342007;0,89666744;5,039132;141515,9;2017
Oregon;22,257143;0;22,257143;3,7524186;2,3640849;5,1939476;2,2156653;1,0531473;0,686863;6,9910162;202051,5;2017
Washington;17,233288;0;17,233288;3,630454;1,7207154;2,8558808;2,4718709;1,0126158;0,47398615;5,0677653;433795,8;2017
Alaska;29,991499;0;29,991499;5,5279476;1,9958921;6,0697454;1,6481236;3,327217;0,8604644;10,562109;42454,4;2017
Hawaii;18,463991;0,00050191;18,463489;2,7181026;1,5853624;4,0302078;1,6187656;0,80354121;0,63432602;7,0731839;76109,6;2017
United States ;0,18352277;0,00019848;0,18332429;0,03922521;0,01783811;0,04039861;0,01716975;0,01101926;0,00675563;0,05091773;16151881;2016
New England;16,326734;0,00241999;16,324314;3,7304892;1,2962503;3,9172322;0,73062005;1,0001966;0,55440302;5,0951226;919177,9;2016
Connecticut;13,899867;0;13,899867;3,7716012;1,3459664;1,5404963;0,94095138;1,0280691;0,49937685;4,7734055;250178,6;2016
Maine;19,040415;0;19,040415;4,0623988;1,3624119;5,3206094;0,7518053;1,6868765;0,4857972;5,3705161;59685,4;2016
Massachusetts;16,783975;0,00084396;16,783131;3,4521338;1,1582385;4,874063;0,67568311;0,85734675;0,56088392;5,2047821;448480,5;2016
New Hampshire;14,225962;0;14,225962;3,8546209;1,2987231;2,9782159;0,26140615;0,94459663;0,51911593;4,3692837;75858,2;2016
Rhode Island;19,87089;0,03448334;19,836406;4,5110162;1,2755641;5,5654733;0,55507172;0,84390867;0,82049385;6,2648785;53530,2;2016
Vermont;22,99745;0;22,99745;5,1152329;2,7727492;5,97571;1,2313086;1,9126252;0,6621307;5,3276928;31445;2016
Mideast;19,639384;0,004899;19,634485;4,8178882;1,3830608;4,5298352;1,4656927;1,0932579;0,72199043;5,6227593;2879300,2;2016
Delaware;21,447283;0,00054379;21,446739;4,2072643;2,7249546;5,2144112;1,2211697;1,2647308;0,7647955;6,0494133;46341,8;2016
District of Columbia;23,925674;0;23,925674;4,8839156;0,29778102;7,092096;1,3591571;0,66476193;1,1116367;8,5163258;53375,8;2016
Maryland;16,540625;0;16,540625;3,625135;1,7923802;3,4411803;0,65688677;0,95691674;0,74954454;5,3185819;354260,6;2016
New Jersey;16,628155;0,002332;16,625823;4,8408616;1,253389;3,0130134;1,0000368;0,87445815;0,63118968;5,0128744;557461,9;2016
New York;22,319034;0;22,319034;5,4835489;1,1863831;5,3997835;1,937805;0,9713762;0,82317219;6,5169647;1205507,2;2016
Pennsylvania;18,482161;0,01929561;18,462865;4,2623734;1,6248045;4,5510049;1,4566291;1,5946931;0,56512533;4,4082349;662352,9;2016
Great Lakes;18,13391;0,00309095;18,130819;3,9741539;1,9730591;4,1524919;1,4368368;1,1690006;0,65780158;4,7674753;2206860;2016
